Mask_Name,Coverage_Percentage
00000.png,5.6793
00001.png,6.5022
00002.png,6.2859
00003.png,1.2478
00004.png,9.9571
00005.png,5.6408
00006.png,1.8833
00007.png,7.9922
00008.png,8.9314
00009.png,3.7037
00010.png,2.2354
00011.png,9.9640
00012.png,8.4515
00013.png,7.5649
00014.png,6.2828
00015.png,5.7842
00016.png,4.5280
00017.png,9.4799
00018.png,1.7513
00019.png,4.6654
00020.png,7.2403
00021.png,2.7744
00022.png,6.7513
00023.png,1.0483
00024.png,2.6260
00025.png,8.2184
00026.png,1.5755
00027.png,3.1300
00028.png,6.0806
00029.png,4.6661
00030.png,3.8322
00031.png,5.3211
00032.png,3.8521
00033.png,6.6433
00034.png,9.2979
00035.png,7.2861
00036.png,9.2045
00037.png,6.5128
00038.png,7.4375
00039.png,2.8645
00040.png,7.3914
00041.png,5.6923
00042.png,5.0270
00043.png,4.4437
00044.png,7.1888
00045.png,2.5143
00046.png,9.6737
00047.png,9.7393
00048.png,2.8294
00049.png,1.5121
00050.png,3.1822
00051.png,6.8813
00052.png,8.3168
00053.png,6.4617
00054.png,9.4120
00055.png,9.7439
00056.png,7.8518
00057.png,2.0325
00058.png,5.6404
00059.png,8.8963
00060.png,6.8653
00061.png,6.2634
00062.png,5.1430
00063.png,6.2420
00064.png,3.2356
00065.png,6.6147
00066.png,1.6338
00067.png,7.0950
00068.png,7.8377
00069.png,2.2381
00070.png,6.2180
00071.png,7.0442
00072.png,5.6911
00073.png,6.3587
00074.png,2.1378
00075.png,1.5305
00076.png,8.6201
00077.png,7.1918
00078.png,5.4745
00079.png,7.1537
00080.png,2.7740
00081.png,5.6980
00082.png,3.3283
00083.png,3.6900
00084.png,6.4384
00085.png,5.4230
00086.png,8.2447
00087.png,9.2323
00088.png,1.1597
00089.png,9.7210
00090.png,8.0284
00091.png,5.4249
00092.png,7.1964
00093.png,6.0436
00094.png,7.5455
00095.png,5.9872
00096.png,4.6909
00097.png,7.8018
00098.png,3.7231
00099.png,3.9307
00100.png,3.9520
00101.png,6.8790
00102.png,5.9669
00103.png,6.5071
00104.png,8.6456
00105.png,9.6546
00106.png,7.2105
00107.png,6.7890
00108.png,2.8820
00109.png,5.1163
00110.png,3.9265
00111.png,3.3367
00112.png,8.1585
00113.png,3.6011
00114.png,9.3723
00115.png,3.8475
00116.png,8.1966
00117.png,6.7703
00118.png,4.3686
00119.png,8.8814
00120.png,4.0333
00121.png,7.1106
00122.png,7.8880
00123.png,5.4218
00124.png,9.1118
00125.png,9.4559
00126.png,8.2722
00127.png,4.6818
00128.png,3.2173
00129.png,8.8783
00130.png,7.3193
00131.png,4.6547
00132.png,3.5042
00133.png,9.7267
00134.png,8.0349
00135.png,6.6097
00136.png,3.8815
00137.png,9.8019
00138.png,6.4079
00139.png,7.0602
00140.png,9.4074
00141.png,1.6708
00142.png,6.1020
00143.png,4.1256
00144.png,5.6248
00145.png,6.6483
00146.png,6.1935
00147.png,1.4053
00148.png,7.3750
00149.png,7.9842
00150.png,7.3864
00151.png,1.2897
00152.png,2.3594
00153.png,5.8483
00154.png,8.3054
00155.png,4.9126
00156.png,1.4458
00157.png,1.3180
00158.png,1.6369
00159.png,2.0798
00160.png,3.6304
00161.png,6.6277
00162.png,5.0507
00163.png,8.4606
00164.png,6.3290
00165.png,7.9479
00166.png,5.9906
00167.png,8.0753
00168.png,2.3216
00169.png,1.9085
00170.png,8.8509
00171.png,6.5586
00172.png,7.7240
00173.png,7.8888
00174.png,9.0019
00175.png,6.5552
00176.png,2.0954
00177.png,9.0065
00178.png,9.7073
00179.png,7.2403
00180.png,2.4437
00181.png,4.1161
00182.png,5.4790
